Combination,Dims,Accuracy,MacroF1,Down_Recall,Up_Recall
BFS,5,0.8287523694640703,0.4537200839006726,0.1307300509337861,0.30434782608695654
GO,4,0.6052472858866104,0.33577091133772424,0.3361629881154499,0.17905138339920948
ESM2,640,0.9155609167671894,0.6149399748603527,0.1799660441426146,0.5411067193675889
BFS+GO,9,0.8467602963984147,0.4630857945819377,0.11714770797962648,0.2901185770750988
BFS+ESM2,645,0.9156470790970188,0.610049299822621,0.17147707979626486,0.5363636363636364
GO+ESM2,644,0.9146562123039808,0.611862442581557,0.1765704584040747,0.5347826086956522
All,649,0.9140530759951749,0.6021231764014754,0.15619694397283532,0.5300395256916997
